slice_id,slice_label,eo_baseline,eo_label,hour_n_eval,hour_n_blocks,hour_mae_eo,hour_mae_local,hour_delta_mae_eo_minus_local,hour_ci_low,hour_ci_high,hour_prob_eo_better,hour_ci_excludes_zero,hour_p_two_sided_boot,hour_slice_order,hour_eo_order,day_n_eval,day_n_blocks,day_mae_eo,day_mae_local,day_delta_mae_eo_minus_local,day_ci_low,day_ci_high,day_prob_eo_better,day_ci_excludes_zero,day_p_two_sided_boot,day_slice_order,day_eo_order,hour_ci,day_ci,sign_match,ci_exclusion_match
overall_all,Overall,source_imerg,IMERG,882999,8695,0.09538894283208552,0.03995823234428012,0.055430710487805394,0.049260061027718245,0.0618256871767128,0.0,True,0.0,0,0,882999,365,0.09538894283208552,0.03995823234428012,0.055430710487805394,0.03691306096791286,0.07509919797830397,0.0,True,0.0,0,0,"[0.0493, 0.0618]","[0.0369, 0.0751]",True,True
overall_all,Overall,source_era5,ERA5,882999,8695,0.06335921855920072,0.03995823234428012,0.0234009862149206,0.019878975218336384,0.027147627600786834,0.0,True,0.0,0,1,882999,365,0.06335921855920072,0.03995823234428012,0.0234009862149206,0.013367907214019642,0.034590108826001754,0.0,True,0.0,0,1,"[0.0199, 0.0271]","[0.0134, 0.0346]",True,True
overall_all,Overall,source_euradclim,EURADCLIM,882999,8695,0.06055834482866896,0.03995823234428012,0.02060011248438884,0.016861376539531115,0.024719141843524254,0.0,True,0.0,0,2,882999,365,0.06055834482866896,0.03995823234428012,0.02060011248438884,0.01106645161487847,0.030647424449573187,0.0,True,0.0,0,2,"[0.0169, 0.0247]","[0.0111, 0.0306]",True,True
overall_positive_target,Positive-rain only,source_imerg,IMERG,20652,2346,1.9464401583334385,1.0260633367938254,0.9203768215396131,0.8221145878599314,1.0187317955357422,0.0,True,0.0,1,0,20652,292,1.9464401583334385,1.0260633367938254,0.9203768215396131,0.6741021665187179,1.2077375432439923,0.0,True,0.0,1,0,"[0.8221, 1.0187]","[0.6741, 1.2077]",True,True
overall_positive_target,Positive-rain only,source_era5,ERA5,20652,2346,1.546404162551796,1.0260633367938254,0.5203408257579705,0.45281274866295823,0.5885244619085777,0.0,True,0.0,1,1,20652,292,1.546404162551796,1.0260633367938254,0.5203408257579705,0.37046776814906546,0.707451157655842,0.0,True,0.0,1,1,"[0.4528, 0.5885]","[0.3705, 0.7075]",True,True
overall_positive_target,Positive-rain only,source_euradclim,EURADCLIM,20652,2346,1.715602959200119,1.0260633367938254,0.6895396224062935,0.5918762335889907,0.8091070893803536,0.0,True,0.0,1,2,20652,292,1.715602959200119,1.0260633367938254,0.6895396224062935,0.50554569459121,0.8961569269118307,0.0,True,0.0,1,2,"[0.5919, 0.8091]","[0.5055, 0.8962]",True,True
conflict_low,Low conflict,source_imerg,IMERG,661743,8463,0.0018493005123693617,0.0107574441494395,-0.008908143637070138,-0.010472555753258,-0.007477993163229134,1.0,True,0.0,2,0,661743,365,0.0018493005123693617,0.0107574441494395,-0.008908143637070138,-0.014780932500462982,-0.004243355652439811,1.0,True,0.0,2,0,"[-0.0105, -0.0075]","[-0.0148, -0.0042]",True,True
conflict_low,Low conflict,source_era5,ERA5,661743,8463,0.0019991427137496932,0.0107574441494395,-0.008758301435689807,-0.010321431802320778,-0.00732494966412798,1.0,True,0.0,2,1,661743,365,0.0019991427137496932,0.0107574441494395,-0.008758301435689807,-0.014629536347872788,-0.004098712492867849,1.0,True,0.0,2,1,"[-0.0103, -0.0073]","[-0.0146, -0.0041]",True,True
conflict_low,Low conflict,source_euradclim,EURADCLIM,661743,8463,0.0019833248482172936,0.0107574441494395,-0.008774119301222207,-0.010340924165194686,-0.007342407664714822,1.0,True,0.0,2,2,661743,365,0.0019833248482172936,0.0107574441494395,-0.008774119301222207,-0.014652606014448372,-0.004106958642624892,1.0,True,0.0,2,2,"[-0.0103, -0.0073]","[-0.0147, -0.0041]",True,True
conflict_mid,Mid conflict,source_imerg,IMERG,177406,6084,0.04489873018055052,0.04111172492172148,0.0037870052588290376,0.0014829225603603207,0.006006769087598729,0.0006666666666666666,True,0.0013333333333333333,3,0,177406,352,0.04489873018055052,0.04111172492172148,0.0037870052588290376,-0.0007090495065582007,0.007976020805237847,0.05333333333333334,False,0.10666666666666667,3,0,"[0.0015, 0.0060]","[-0.0007, 0.0080]",True,False
conflict_mid,Mid conflict,source_era5,ERA5,177406,6084,0.06875507696339168,0.04111172492172148,0.027643352041670205,0.025150193567492297,0.02998628263807122,0.0,True,0.0,3,1,177406,352,0.06875507696339168,0.04111172492172148,0.027643352041670205,0.022694752951416215,0.03222042299639576,0.0,True,0.0,3,1,"[0.0252, 0.0300]","[0.0227, 0.0322]",True,True
conflict_mid,Mid conflict,source_euradclim,EURADCLIM,177406,6084,0.0523327264164744,0.04111172492172148,0.01122100149475292,0.008801486370278042,0.013457350988056543,0.0,True,0.0,3,2,177406,352,0.0523327264164744,0.04111172492172148,0.01122100149475292,0.006477265910952859,0.015820843790694917,0.0,True,0.0,3,2,"[0.0088, 0.0135]","[0.0065, 0.0158]",True,True
conflict_tail,High conflict,source_imerg,IMERG,43850,2599,1.711271957501051,0.4759623527142882,1.2353096047867629,1.143604098411405,1.3231523704524746,0.0,True,0.0,4,0,43850,278,1.711271957501051,0.4759623527142882,1.2353096047867629,1.0391475972294968,1.4456801999824167,0.0,True,0.0,4,0,"[1.1436, 1.3232]","[1.0391, 1.4457]",True,True
conflict_tail,High conflict,source_era5,ERA5,43850,2599,0.9675175541154698,0.4759623527142882,0.4915552014011816,0.43952284724166185,0.5463131543196592,0.0,True,0.0,4,1,43850,278,0.9675175541154698,0.4759623527142882,0.4915552014011816,0.38108831076668476,0.6214435312383331,0.0,True,0.0,4,1,"[0.4395, 0.5463]","[0.3811, 0.6214]",True,True
conflict_tail,High conflict,source_euradclim,EURADCLIM,43850,2599,0.9777962811332942,0.4759623527142882,0.501833928419006,0.44031206512616744,0.5649569050504428,0.0,True,0.0,4,2,43850,278,0.9777962811332942,0.4759623527142882,0.501833928419006,0.37918174879704475,0.6368145516634349,0.0,True,0.0,4,2,"[0.4403, 0.5650]","[0.3792, 0.6368]",True,True
