selection,scenario,scope,stratifier,stratum,n_requested,best_eo,best_eo_mae_mm,best_eo_rmse_mm,best_eo_corr,best_eo_coverage_share,best_local,best_local_mae_mm,best_local_rmse_mm,best_local_corr,best_local_coverage_share,delta_mae_mm,delta_mae_pct_vs_local,eo_wins_on_mae
primary,robust_ge_2,overall,overall,all,882999,source_euradclim,0.0605583448286689,0.8073658463188519,0.2649761816666214,1.0,domain_idw_leavecell_knn08,0.0347436942987356,0.6330937856788194,0.5727223060474239,0.9999954699835448,0.0258146505299333,74.30024656552644,False
primary,robust_ge_2,stratified,observable_conflict,low_le_p75,662262,source_imerg,0.0018481532519755,0.1362785752417277,9.879859522867144e-05,1.0,domain_idw_leavecell_knn08,0.0090003556478726,0.5275411611354399,0.1560229066444993,0.9999969800471716,-0.0071522023958971006,-79.46577530619753,True
primary,robust_ge_2,stratified,observable_conflict,mid_p75_p95,176624,source_imerg,0.0447430650789863,0.5532715046681194,0.0542148415291309,1.0,domain_idw_leavecell_knn08,0.0352009826902172,0.5369599284182324,0.4367056710913283,0.9999943382552768,0.0095420823887691,27.107431837182677,False
primary,robust_ge_2,stratified,observable_conflict,tail_gt_p95,44113,source_era5,0.9638244168073836,2.5147149384719047,0.1904218373777211,1.0,domain_idw_leavecell_knn08,0.4194012887708052,1.6402477964371414,0.7614767022665111,0.9999773309455262,0.5444231280365784,129.8095982566461,False
primary,robust_ge_2,stratified,target_intensity,=0,862347,source_euradclim,0.0209223498336157,0.330508151552832,,1.0,domain_idw_leavecell_knn08,0.01208294788985,0.4865698395341238,,0.9999953614960104,0.008839401943765701,73.156004845399,False
primary,robust_ge_2,stratified,target_intensity,"(0,0.1]",189,source_euradclim,0.2885097394239714,0.6649620434064699,0.00393537468945,1.0,domain_idw_leavecell_knn64,0.2724735066273112,0.8028244650642098,0.0508545113328292,1.0,0.01603623279666022,5.885428273433774,False
primary,robust_ge_2,stratified,target_intensity,"(0.1,1]",13516,source_era5,0.47224466850185,0.9814302237423718,0.1169212097849898,1.0,domain_idw_leavecell_knn08,0.3862162972404229,1.0166036522932551,0.2927203811055364,1.0,0.0860283712614271,22.274661083986757,False
primary,robust_ge_2,stratified,target_intensity,"(1,5]",5301,source_era5,1.7784497582616032,2.181106870390734,0.1259843367102023,1.0,domain_idw_leavecell_knn64_r15km,1.2078315923327223,2.076006575201669,0.3760519290842397,0.9937747594793436,0.5706181659288809,47.24318932797813,False
primary,robust_ge_2,stratified,target_intensity,"(5,10]",1022,source_imerg,5.334963309179459,5.870800561765032,0.0336245523961841,1.0,domain_idw_leavecell_knn64_r15km,2.9675834646297568,4.02992303241409,0.2381829734099759,0.9902152641878668,2.3673798445497023,79.77466759625116,False
primary,robust_ge_2,stratified,target_intensity,"(10,20]",456,source_imerg,10.73803366534412,11.476091424850155,0.1624354953519633,1.0,domain_idw_leavecell_knn64_r15km,5.934630830194513,7.20951269661869,0.2262320081214187,0.993421052631579,4.803402835149607,80.93852798240815,False
primary,robust_ge_2,stratified,target_intensity,>20,168,source_euradclim,26.132134261868487,28.70694571483032,0.0914767370422065,1.0,domain_idw_leavecell_knn08,14.875855758353802,19.97428588641021,0.1401030907278824,1.0,11.256278503514684,75.66810734362976,False
primary,robust_ge_2,stratified,elevation,<200,304844,source_euradclim,0.0541851862603512,0.6924027263047415,0.3128757375085529,1.0,domain_idw_leavecell_knn08,0.0295324503114739,0.4362869965695402,0.7348609091981052,1.0,0.0246527359488773,83.47677110726995,False
primary,robust_ge_2,stratified,elevation,200-600,278235,source_euradclim,0.0607337748522939,0.8257181955095725,0.2889094997865102,1.0,domain_idw_leavecell_knn08,0.040937460663012,0.8863118760622333,0.4936804141186303,1.0,0.019796314189281898,48.35745517349188,False
primary,robust_ge_2,stratified,elevation,600-1200,283000,source_euradclim,0.0667897606465903,0.907760359569712,0.2133442072791807,1.0,domain_idw_leavecell_knn08,0.0346282819990859,0.5141799555544859,0.6106472990834588,0.9999858657243816,0.0321614786475044,92.87633342119999,False
primary,robust_ge_2,stratified,elevation,>=1200,16920,source_era5,0.06551825305063,0.5633621966776373,0.2747607561360223,1.0,domain_idw_leavecell_knn08,0.0287126716533477,0.384339091626561,0.7271774188065305,1.0,0.036805581397282294,128.18584714665874,False
primary,robust_ge_2,stratified,coast,<10km,202760,source_era5,0.0559007132199897,0.618965497986677,0.2557194060123652,1.0,domain_idw_leavecell_knn08,0.0308554689255831,0.4768841938488197,0.6922739182605387,1.0,0.025045244294406598,81.16954681457105,False
primary,robust_ge_2,stratified,coast,10-30km,399750,source_era5,0.0628019580095681,0.6316578860597302,0.2690406424440854,1.0,domain_idw_leavecell_knn08,0.0369600951429332,0.763721512944189,0.5458644293891034,0.9999924953095684,0.025841862866634903,69.9182801524143,False
primary,robust_ge_2,stratified,coast,30-60km,239912,source_euradclim,0.0628723407873135,0.7241687569528257,0.252405270064314,1.0,domain_idw_leavecell_knn08,0.0342586501549554,0.5287508099129787,0.6096690779772171,0.9999958318049952,0.028613690632358108,83.52252789568603,False
primary,robust_ge_2,stratified,coast,>=60km,40577,source_euradclim,0.0423743363607558,0.504729688111894,0.2079091567331931,1.0,domain_idw_leavecell_knn64_r15km,0.0281729447923699,0.4222173984002205,0.5251525640678466,0.8536855854301698,0.014201391568385898,50.407906142037625,False
sensitivity,robust_ge_2,stratified,support_regime,robust_ge_2,882999,source_euradclim,0.0605583448286689,0.8073658463188519,0.2649761816666214,1.0,domain_idw_leavecell_knn08,0.0347436942987356,0.6330937856788194,0.5727223060474239,0.9999954699835448,0.0258146505299333,74.30024656552644,False
sensitivity,wide_ge_1,overall,overall,all,1428447,source_euradclim,0.0592623270936136,0.7629574193485553,0.2577459517188094,1.0,domain_idw_leavecell_knn08,0.0359148338334986,0.6089061022924739,0.5523892515590699,0.9999831985365926,0.023347493260115003,65.00793897127336,False
sensitivity,wide_ge_1,stratified,support_regime,single_station,545448,source_euradclim,0.0571642675828333,0.6849908799763719,0.2587599513005674,1.0,domain_idw_leavecell_knn64_r15km,0.0374240413143937,0.5559959242527845,0.5506050011887248,0.9639800677608132,0.019740226268439603,52.74744676184209,False
sensitivity,wide_ge_1,stratified,support_regime,robust_ge_2,882999,source_euradclim,0.0605583448286689,0.8073658463188519,0.2649761816666214,1.0,domain_idw_leavecell_knn08,0.0347436942987356,0.6330937856788194,0.5727223060474239,0.9999954699835448,0.0258146505299333,74.30024656552644,False
sensitivity,wide_ge_1,stratified,observable_conflict,low_le_p75,1071335,source_imerg,0.0019045163359681,0.1294055662216986,7.954447528118977e-05,1.0,domain_idw_leavecell_knn08,0.0070746033473594,0.4273382721812901,0.1493947952799624,0.9999859987772264,-0.0051700870113913005,-73.07953191921406,True
sensitivity,wide_ge_1,stratified,observable_conflict,mid_p75_p95,285689,source_imerg,0.0461410978837347,0.5326785490596413,0.0549028175229519,1.0,domain_idw_leavecell_knn64_r15km,0.0390433995997843,0.5328957928074624,0.4106738702265005,0.9831145056337486,0.007097698283950404,18.1789965953416,False
sensitivity,wide_ge_1,stratified,observable_conflict,tail_gt_p95,71423,source_euradclim,0.9358335421189504,3.204314200715794,0.2320624080654092,1.0,domain_idw_leavecell_knn08,0.4556419989242338,1.856547953986525,0.6898762495693394,0.9999579967237444,0.48019154319471663,105.38790197752711,False
sensitivity,wide_ge_1,stratified,target_intensity,=0,1395937,source_euradclim,0.0215000440108621,0.3348964272692701,,1.0,domain_idw_leavecell_knn08,0.0118008587492331,0.418326887770969,,0.999982807247032,0.009699185261628999,82.19050382464172,False
sensitivity,wide_ge_1,stratified,target_intensity,"(0,0.1]",202,source_euradclim,0.2794555793565324,0.6495986337463792,-0.0003599495010283,1.0,domain_idw_leavecell_knn64_r15km,0.2657971506146714,1.331340842111562,0.0040714792561359,0.99009900990099,0.013658428741861017,5.138666351492145,False
sensitivity,wide_ge_1,stratified,target_intensity,"(0.1,1]",21366,source_era5,0.478932656064677,0.9740203766768404,0.119916589879158,1.0,domain_idw_leavecell_knn08,0.3998169895220727,0.9974188485541886,0.2765182067146299,1.0,0.07911566654260432,19.78797015033714,False
sensitivity,wide_ge_1,stratified,target_intensity,"(1,5]",8335,source_era5,1.8154919666872065,2.2404351728880028,0.1127261072207545,1.0,domain_idw_leavecell_knn64,1.2872556574127694,1.9532429358721524,0.3486935303918678,1.0,0.5282363092744371,41.03585066669112,False
sensitivity,wide_ge_1,stratified,target_intensity,"(5,10]",1608,source_imerg,5.462105619487126,5.9815786775038005,0.0157881936854165,1.0,domain_idw_leavecell_knn64_r15km,3.273083304176384,4.334808535175111,0.1986685997494723,0.9832089552238806,2.189022315310742,66.8795173198799,False
sensitivity,wide_ge_1,stratified,target_intensity,"(10,20]",718,source_imerg,10.939447584730628,11.6703008341644,0.1399833489321119,1.0,domain_idw_leavecell_knn64_r15km,6.680683403733054,8.024813450527084,0.144251251784945,0.99025069637883,4.258764180997574,63.74743306377679,False
sensitivity,wide_ge_1,stratified,target_intensity,>20,281,source_euradclim,26.590564667815222,29.197123927199637,0.0718966187792766,1.0,domain_idw_leavecell_knn08,17.72000099892241,22.527062580513054,0.1144861138967316,1.0,8.870563668892814,50.05961156228068,False
sensitivity,wide_ge_1,stratified,elevation,<200,421271,source_euradclim,0.0538823488811784,0.7023153477848686,0.3003076984770378,1.0,domain_idw_leavecell_knn08,0.0305041956371027,0.4894875473972833,0.6744158458886574,0.9999833836176713,0.0233781532440757,76.63914014385783,False
sensitivity,wide_ge_1,stratified,elevation,200-600,474874,source_euradclim,0.0578597001083058,0.7546981782661123,0.2903439057344309,1.0,domain_idw_leavecell_knn08,0.0394140137937155,0.7648457825202376,0.4973146605506575,0.9999936825347356,0.0184456863145903,46.79981696645023,False
sensitivity,wide_ge_1,stratified,elevation,600-1200,498158,source_euradclim,0.0648605598095167,0.8286767328158202,0.2046458353469883,1.0,domain_idw_leavecell_knn08,0.0374837360633238,0.5415665535880856,0.5573783211430152,0.9999718964665828,0.0273768237461929,73.03653963399857,False
sensitivity,wide_ge_1,stratified,elevation,>=1200,34144,source_euradclim,0.0634708403100787,0.5715251396526508,0.2452432513237975,1.0,domain_idw_leavecell_knn08,0.0311148329520656,0.3741753121386874,0.6801908303665689,1.0,0.0323560073580131,103.98901195407223,False
sensitivity,wide_ge_1,stratified,coast,<10km,279088,source_era5,0.0564614891441256,0.684290383337449,0.2383468229518916,1.0,domain_idw_leavecell_knn08,0.0325701557243051,0.556633371388305,0.6273841281023764,0.9999964169007624,0.0238913334198205,73.35345161396287,False
sensitivity,wide_ge_1,stratified,coast,10-30km,541280,source_euradclim,0.0599509654162218,0.8403941205046602,0.2635940047990558,1.0,domain_idw_leavecell_knn08,0.0358903822882097,0.6997806047770627,0.5534439800996424,0.9999759828554536,0.024060583128012104,67.0390828796388,False
sensitivity,wide_ge_1,stratified,coast,30-60km,445679,source_euradclim,0.0623086967905777,0.7245141200723769,0.2332052869427264,1.0,domain_idw_leavecell_knn64_r15km,0.0370051928082045,0.5465533612902134,0.5722411509421569,0.9813049302300536,0.025303503982373195,68.3782519753906,False
sensitivity,wide_ge_1,stratified,coast,>=60km,162400,source_euradclim,0.0509349258707202,0.5581808264882185,0.2272081919772386,1.0,domain_idw_leavecell_knn64_r15km,0.0358196754246849,0.4778744511378373,0.4872869435893172,0.9053633004926108,0.015115250446035303,42.198178143229974,False
